999,93;999,93;999,93
999,38;999,39;999,38
999,77;999,78;999,77
998,71;998,7;998,71
999,02;999,03;999,02
998,85;998,85;998,85
1000,23;1000,19;1000,23
999,48;999,48;999,47
998,68;998,69;998,69
999,67;999,68;999,67
998,97;998,96;998,98
1000,06;1000,06;1000,06
997,23;997,22;997,23
999,91;999,91;999,91
999,93;999,92;999,93
999,35;999,34;999,35
999,71;999,71;999,71
999,55;999,54;999,55
1000,13;1000,13;1000,13
999,51;999,51;999,51
999,2;999,2;999,2
1000,14;1000,14;1000,14
999,79;999,79;999,78
999,75;999,75;999,75
1000,24;1000,24;1000,24
1000,19;1000,19;1000,19
999,76;999,76;999,76
999,92;999,93;999,92
1000,04;1000,05;1000,04
999,55;999,56;999,56
999,91;999,91;999,91
999,81;999,81;999,81
999,87;999,88;999,87
999,75;999,74;999,74
999,38;999,37;999,38
999,01;999,01;999,01
998,97;998,97;998,97
999,86;999,87;999,86
998,94;998,95;998,95
1000,21;1000,22;1000,25
998,24;998,24;998,24
999,55;999,57;999,56
999,12;999,12;999,12
999,82;999,81;999,81
1000,5;1000,5;1000,51
999,87;999,86;999,87
999,09;999,09;999,09
1000,3;1000,31;1000,3
1000,66;1000,66;1000,66
999,76;999,77;999,76
999,09;999,1;999,1
998,79;998,8;998,79
999,74;999,76;999,77
1000,15;1000,14;1000,14
998,82;998,82;998,82
999,15;999,14;999,15
999,64;999,66;999,65
1000,19;1000,18;1000,19
999,65;999,65;999,65
1000,42;1000,42;1000,42
999,24;999,25;999,24
999,01;999,02;999,02
996,27;996,29;996,31
999,32;999,34;999,35
999,7;999,7;999,7
999,63;999,63;999,62
999,02;999,02;999,01
999,89;999,91;999,9
999,71;999,71;999,71
1000,39;1000,4;1000,4
998,39;998,39;998,39
999,46;999,48;999,48
1000,31;1000,31;1000,31
998,69;998,69;998,69
999,75;999,76;999,76
998,67;998,67;998,67
999,38;999,39;999,39
1000,34;1000,35;1000,35
999,05;999,06;999,05
998,72;998,71;998,72
999,92;999,92;999,92
1000,29;1000,28;1000,29
999,53;999,52;999,53
998,27;998,27;998,27
1000,55;1000,55;1000,55
1000,4;1000,4;1000,4
999,74;999,74;999,74
999,7;999,7;999,7
1000,41;1000,4;1000,41
999,16;999,16;999,16
999,81;999,81;999,81
999,5;999,5;999,5
999,52;999,51;999,51
998,88;998,88;998,87
999,63;999,64;999,64
999,35;999,35;999,35
998,47;998,48;998,48
999,56;999,56;999,57
999,37;999,37;999,37
999,36;999,36;999,36
998,77;998,76;998,77
998,71;998,71;998,71
999,72;999,72;999,72
999,67;999,67;999,67
999,8;999,79;999,79
999,86;999,86;999,86
999,81;999,81;999,81
999,76;999,76;999,76
999,67;999,67;999,67
1000,07;1000,07;1000,07
1000,2;1000,21;1000,21
1000,43;1000,43;1000,43
997,89;997,89;997,89
998,94;998,95;998,95
999,7;999,71;999,71
999,09;999,09;999,09
998,75;998,75;998,75
1000,3;1000,3;1000,3
998,98;998,99;998,99
999,66;999,66;999,66
1000,51;1000,51;1000,51
998,75;998,75;998,75
999,65;999,65;999,65
999,51;999,51;999,51
1000,48;1000,49;1000,49
998,93;998,93;998,93
1000,22;1000,22;1000,22
999,68;999,69;999,69
999,17;999,18;999,17
1000,22;1000,23;1000,22
999,34;999,33;999,33
998,17;998,16;998,16
1000,01;1000,02;1000,02
1000,11;1000,12;1000,12
999,47;999,49;999,49
999,73;999,73;999,73
1000,16;1000,16;1000,16
999,85;999,84;999,84
1000,65;1000,65;1000,65
999,73;999,74;999,73
999,72;999,73;999,72
1000,05;1000,05;1000,05
999,86;999,86;999,86
1000,16;1000,16;1000,16
998,89;998,89;998,89
999,66;999,66;999,66
999,9;999,9;999,9
1000,03;1000,03;1000,03
999,69;999,69;999,69
999,57;999,59;999,59
999,53;999,54;999,54
999,12;999,14;999,13
1000,3;1000,3;1000,3
1000,39;1000,38;1000,38
999,59;999,6;999,59
999,29;999,3;999,29
999,68;999,69;999,68
999,68;999,69;999,68
998,84;998,84;998,84
999,47;999,47;999,47
998,67;998,67;998,67
999,77;999,77;999,77
998,17;998,17;998,17
999,76;999,76;999,76
999,42;999,42;999,41
999,71;999,73;999,71
1000,11;1000,11;1000,11
999,74;999,74;999,74
1000,5;1000,5;1000,5
999,29;999,29;999,29
998,73;998,74;998,74
1000,01;1000,02;1000,01
1000,69;1000,69;1000,69
999,36;999,35;999,35
1000,29;1000,29;1000,28
999,9;999,91;999,9
999,22;999,22;999,22
1000,64;1000,64;1000,64
999,62;999,62;999,62
1000,18;1000,18;1000,18
1000,02;1000,02;1000,02
999,84;999,84;999,83
